
id,question,answer1,answer2,answer3,answer4,answer5,answer6,coanswer,serie,difficulty,created_at
1,Quel est le fruit du démon mangé par Luffy ?,Gomu Gomu no Mi,Mera Mera no Mi,Hito Hito no Mi,Ope Ope no Mi,Koro Koro no Mi,Zoubi Zoubi no Mi,1,One Piece,veryeasy,2025-10-26 22:56:10.147201+00
5,Dans quelle équipe appartient Sakura ?,Equipe 7,Equipe 8,Equipe 9,Equipe 10,Equipe 6,Equipe 5,1,Naruto,veryeasy,2025-10-30 16:42:53.205206+00
6,Quel Jutsu doit maîtriser Naruto pour être diplômé de l'académie ?,Transformation,Clonage,Substitution,Téléportation,Disparition,Connexion,2,Naruto,veryeasy,2025-10-30 16:42:53.205206+00
7,Qui est reponsable de la mort des parents de Iruka ?,Naruto,Obito,Kyubi,Tobirama,Orochimaru,Mizuki,3,Naruto,easy,2025-10-30 16:42:53.205206+00
8,Quel personnage arrive à la 1ère place du premier sondage de popularité du Manga ?,Naruto,Sasuke,Minato,Itachi,Kakashi,Madara,5,Naruto,veryhard,2025-10-30 16:42:53.205206+00
9,Quel est le lien de parenté entre Konohamaru et Hiruzen ?,Hiruzen est le père de Konohamaru,Hiruzen est le grand-père de Konohamaru,Hiruzen est l’oncle de Konohamaru,Hiruzen est le cousin de Konohamaru,Hiruzen est le frère de Konohamaru,Hiruzen est le meilleur ami de Konohamaru,2,Naruto,veryeasy,2025-10-30 16:42:53.205206+00
10,Avec quel jutsu Naruto parvient-il à vaincre Ebisu ?,Technique du Harem,"Technique du Crapaud ",Technique du Clonade,Technique de la Transformation inversée,Technique de la Boule de Feu,Technique du Loup,1,Naruto,easy,2025-10-30 16:42:53.205206+00
11,"Parmi ces personnages , qui fait partie de l'équipe 8 ?",Genma,Shino,Shikamaru,Sasuke,Rock lee,Temari,2,Naruto,medium,2025-10-30 16:42:53.205206+00
12,Qui est l'auteur du livre dont raffole Kakashi ?,Jiraiya,Iruka,Hiruzen,Ebisu,Inoichi,Karin,1,Naruto,easy,2025-10-30 16:42:53.205206+00
13,Comment s'appelle le père de Naruto Uzumaki ?,Minato,Boruto,Hiruzen,Jiraiya,Kakashi,Iruka,1,Naruto,veryeasy,2025-10-30 16:46:43.115066+00
14,"Selon Kakashi, à combien s'élève le taux d'échec de l'épreuve de survie ?",66%,80%,50%,90%,75%,60%,1,Naruto,hard,2025-10-30 16:46:43.115066+00
